frame_id,timestamp_ns,load_ms,undistort_ms,detect_ms,describe_ms,stereo_ms,stereo_retrack_ms,track_ms,preint_ms,optimize_ms,total_ms,n_features,n_stereo,n_stereo_retracked,n_tracked,n_landmarks_init,n_landmarks
49,1403715275712143104,0.000,0.271,0.000,0.000,0.000,0.000,0.326,0.000,0.000,0.684,0,0,0,261,0,0
50,1403715275762142976,0.000,0.230,0.936,0.354,0.002,0.000,0.301,0.000,4.542,7.515,2,0,117,261,158,158
51,1403715275812143104,0.000,0.274,0.000,0.000,0.000,0.000,0.344,0.000,0.000,0.698,0,0,0,263,0,0
52,1403715275862142976,0.000,0.276,0.000,0.000,0.000,0.000,0.356,0.000,0.000,0.697,0,0,0,263,0,0
53,1403715275912143104,0.000,0.242,0.000,0.000,0.000,0.000,0.383,0.000,0.000,0.785,0,0,0,263,0,0
54,1403715275962142976,0.000,0.282,0.000,0.000,0.000,0.000,0.318,0.000,0.000,0.683,0,0,0,263,0,0
55,1403715276012143104,0.000,0.242,0.000,0.000,0.000,0.000,0.299,0.000,0.000,0.603,0,0,0,263,0,0
56,1403715276062142976,0.000,0.294,0.000,0.000,0.000,0.000,0.463,0.000,0.000,0.825,0,0,0,263,0,0
57,1403715276112143104,0.000,0.240,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.613,0,0,0,263,0,0
58,1403715276162142976,0.000,0.253,0.000,0.000,0.000,0.000,0.432,0.000,0.000,0.826,0,0,0,263,0,0
59,1403715276212143104,0.000,0.237,0.000,0.000,0.000,0.000,0.311,0.000,0.000,0.630,0,0,0,263,0,0
60,1403715276262142976,0.000,0.233,1.086,0.398,0.005,0.000,0.334,0.000,33.658,36.914,8,2,113,263,199,199
61,1403715276312143104,0.000,0.292,0.000,0.000,0.000,0.000,0.350,0.000,0.000,0.722,0,0,0,271,0,0
62,1403715276362142976,0.000,0.383,0.000,0.000,0.000,0.000,0.455,0.000,0.000,1.047,0,0,0,271,0,0
63,1403715276412143104,0.000,0.290,0.000,0.000,0.000,0.000,0.469,0.000,0.000,0.840,0,0,0,271,0,0
64,1403715276462142976,0.000,0.234,0.000,0.000,0.000,0.000,0.545,0.000,0.000,0.846,0,0,0,271,0,0
